OBSYMD,DAMCD,RF,IQTY
19751025,1012110,0,18.5
19751026,1012110,0,14.1
19751027,1012110,0,12.9
19751028,1012110,0,9.5
19751029,1012110,0.7,13.3
19751030,1012110,0,11.8
19751031,1012110,0,8.2
19751101,1012110,0,14.3
19751102,1012110,0,15.1
19751103,1012110,0,10.4
19751104,1012110,0,10.1
19751105,1012110,0,7.3
19751106,1012110,3,21.6
19751107,1012110,0.2,72.7
19751108,1012110,0,48.2
19751109,1012110,0,33.6
19751110,1012110,0,32.2
19751111,1012110,0,20.3
19751112,1012110,0.3,18.8
19751113,1012110,0.7,19.4
19751114,1012110,11.4,106.4
19751115,1012110,4.5,19.4
19751116,1012110,0.7,106.4
19751117,1012110,0.2,259.3
19751118,1012110,0,199.9
19751119,1012110,0,164.8
19751120,1012110,0,65.9
19751121,1012110,3.7,51.1
19751122,1012110,0,41.1
19751123,1012110,0,27.1
19751124,1012110,0,25.2
19751125,1012110,0,44
19751126,1012110,1.7,32.8
19751127,1012110,0,20.8
19751128,1012110,0.4,20.6
19751129,1012110,0,19.4
19751130,1012110,0,19.1
19751201,1012110,0,20.2
19751202,1012110,0,18.3
19751203,1012110,0,12.2
19751204,1012110,18.9,70.6
19751205,1012110,0,23.2
19751206,1012110,0,22.7
19751207,1012110,0,13
19751208,1012110,0,13
19751209,1012110,0,14
19751210,1012110,0,13
19751211,1012110,0,12.3
19751212,1012110,0,4
19751213,1012110,0,6
19751214,1012110,0,10.3
19751215,1012110,0,6
19751216,1012110,0,7.4
19751217,1012110,0,6.8
19751218,1012110,0,6.9
19751219,1012110,0,9
19751220,1012110,0,7.9
19751221,1012110,0.7,4
19751222,1012110,0,7.6
19751223,1012110,0,5.1
19751224,1012110,0,2
19751225,1012110,0,5.6
19751226,1012110,0,4.6
19751227,1012110,0,2.4
19751228,1012110,0,5.6
19751229,1012110,0,4
19751230,1012110,0,5.1
19751231,1012110,0,5.7
19760101,1012110,0,50
19760102,1012110,0,9.7
19760103,1012110,0,4.6
19760104,1012110,2.6,14.6
19760105,1012110,0,6.2
19760106,1012110,0,3.5
19760107,1012110,3.5,4.5
19760108,1012110,0.8,8.7
19760109,1012110,0,3.3
19760110,1012110,0,4.1
19760111,1012110,0,4.3
19760112,1012110,0,7.1
19760113,1012110,0.6,5.3
19760114,1012110,0,1.4
19760115,1012110,0,1.9
19760116,1012110,0.7,1.4
19760117,1012110,0,9.5
19760118,1012110,0,6
19760119,1012110,0,1.6
19760120,1012110,0,1.5
19760121,1012110,0,0
19760122,1012110,0.1,0
19760123,1012110,0,6.7
19760124,1012110,0,3
19760125,1012110,0,2.1
19760126,1012110,0,0.1
19760127,1012110,0,2
19760128,1012110,0,6.5
19760129,1012110,0.1,3
19760130,1012110,0,2.4
19760131,1012110,0,5
19760201,1012110,0,5
19760202,1012110,0,6.3
19760203,1012110,0,5.8
19760204,1012110,0.2,3.3
19760205,1012110,0.2,4.7
19760206,1012110,0,3.7
19760207,1012110,0,4.4
19760208,1012110,0,2.1
19760209,1012110,0,2
19760210,1012110,0.6,5.3
19760211,1012110,0,5.9
19760212,1012110,0,6.2
19760213,1012110,13,7.5
19760214,1012110,0,8.6
19760215,1012110,20.7,26.2
19760216,1012110,20.7,19.3
19760217,1012110,0,11.2
19760218,1012110,7,10.4
19760219,1012110,0,8.4
19760220,1012110,0,6.4
19760221,1012110,0,6.6
19760222,1012110,0,9.9
19760223,1012110,0,13.1
19760224,1012110,0,10
19760225,1012110,0,2.5
19760226,1012110,0,8.6
19760227,1012110,0.4,7.7
19760228,1012110,33.1,83.9
19760229,1012110,0,70.8
19760301,1012110,0,44.3
19760302,1012110,0.2,30.6
19760303,1012110,0,28.7
19760304,1012110,0,21.3
19760305,1012110,0,30.9
19760306,1012110,0,35.2
19760307,1012110,0,53.4
19760308,1012110,0,48
19760309,1012110,0,56.9
19760310,1012110,0,63.9
19760311,1012110,4.5,67.3
19760312,1012110,0,84.8
19760313,1012110,0,56.7
19760314,1012110,0,48.3
19760315,1012110,0,47.7
19760316,1012110,1.7,46
19760317,1012110,0.9,54.2
19760318,1012110,0,45.9
19760319,1012110,0,47.6
19760320,1012110,0,41.6
19760321,1012110,0,31.9
19760322,1012110,1.7,26.5
19760323,1012110,0,28.2
19760324,1012110,0,26.1
19760325,1012110,0,23.7
19760326,1012110,0,13.8
19760327,1012110,0,22.1
19760328,1012110,0,19.3
19760329,1012110,0,17.9
19760330,1012110,0,18.6
19760331,1012110,0,34
19760401,1012110,0,26.5
19760402,1012110,0,28.3
19760403,1012110,0,23.1
19760404,1012110,0,28.3
19760405,1012110,0,25.1
19760406,1012110,0.5,28.6
19760407,1012110,0,22.8
19760408,1012110,0,21.6
19760409,1012110,0,21
19760410,1012110,0,20.4
19760411,1012110,0,25.7
19760412,1012110,0,29.6
19760413,1012110,22.7,53.9
19760414,1012110,0,142.9
19760415,1012110,0,118.1
19760416,1012110,0,89.3
19760417,1012110,0,69
19760418,1012110,0,54.7
19760419,1012110,0,55.5
19760420,1012110,1.5,42.4
19760421,1012110,0,42.3
19760422,1012110,0.2,47.7
19760423,1012110,1.7,40.7
19760424,1012110,0,43
19760425,1012110,0,43.5
19760426,1012110,0,35.8
19760427,1012110,0,28.4
19760428,1012110,0,28.1
19760429,1012110,0,25.8
19760430,1012110,13.4,34
19760501,1012110,0.8,69.6
19760502,1012110,0,78.5
19760503,1012110,0,55.3
19760504,1012110,0,47
19760505,1012110,18.9,43.2
19760506,1012110,0.7,39.5
19760507,1012110,0,34.3
19760508,1012110,0,27
19760509,1012110,0,26.6
19760510,1012110,0,24
19760511,1012110,17.8,31.6
19760512,1012110,0,33.1
19760513,1012110,0.2,32
19760514,1012110,0,20.6
19760515,1012110,0,24.5
19760516,1012110,13.7,34.6
19760517,1012110,0,22.6
19760518,1012110,10.8,25.6
19760519,1012110,0,20.4
19760520,1012110,0,21.1
19760521,1012110,0,21.1
19760522,1012110,0,15.6
19760523,1012110,0,12.9
19760524,1012110,0,8.8
19760525,1012110,0,10.8
19760526,1012110,0,13.9
19760527,1012110,0,8.1
19760528,1012110,0,4
19760529,1012110,0,5.2
19760530,1012110,0,6.9
19760531,1012110,0.5,8.6
19760601,1012110,12.1,10.2
19760602,1012110,0,4.6
19760603,1012110,0,8.6
19760604,1012110,0,9.8
19760605,1012110,0,5
19760606,1012110,0,5.7
19760607,1012110,1,7.2
19760608,1012110,9,10.4
19760609,1012110,0,20.2
19760610,1012110,1.9,19.8
19760611,1012110,0,26.5
19760612,1012110,12.2,21.9
19760613,1012110,9.2,23.9
19760614,1012110,0.4,16.3
19760615,1012110,0,23.9
19760616,1012110,0,19.7
19760617,1012110,0,12.5
19760618,1012110,0,9.5
19760619,1012110,0,11.6
19760620,1012110,0,7.4
19760621,1012110,10.3,12.8
19760622,1012110,0.2,9.2
19760623,1012110,0.4,8.8
19760624,1012110,0.2,11
19760625,1012110,1.3,18.2
19760626,1012110,0,15.3
19760627,1012110,0,11.2
19760628,1012110,0,10.2
19760629,1012110,0,6.5
19760630,1012110,0,5.6
19760701,1012110,0.3,21
19760702,1012110,9.6,42.8
19760703,1012110,14.9,42.2
19760704,1012110,1.3,35.2
19760705,1012110,0,35.5
19760706,1012110,0,22.3
19760707,1012110,0,17.6
19760708,1012110,0,8.5
19760709,1012110,37.8,30.9
19760710,1012110,1.6,75.1
19760711,1012110,0,55.6
19760712,1012110,7.9,37.7
19760713,1012110,0,28.7
19760714,1012110,0,18.6
19760715,1012110,2,28.4
19760716,1012110,41.2,63.8
19760717,1012110,0,115.1
19760718,1012110,0,80
19760719,1012110,0,68.9
19760720,1012110,0,69.9
19760721,1012110,0,53.2
19760722,1012110,1.9,36.3
19760723,1012110,0,34.8
19760724,1012110,10,28.1
19760725,1012110,1.9,29.2
19760726,1012110,0,18.7
19760727,1012110,0,17.8
19760728,1012110,23.6,45.1
19760729,1012110,0,35.9
19760730,1012110,0,26.6
19760731,1012110,0,20
19760801,1012110,0,19.4
19760802,1012110,43.4,23.3
19760803,1012110,33.1,336
19760804,1012110,0,191.4
19760805,1012110,15.8,201.5
